DATE,INDPRO
9/1/1991,62.2369
10/1/1991,62.1718
11/1/1991,62.0894
12/1/1991,61.806
1/1/1992,61.4823
2/1/1992,61.9192
3/1/1992,62.4403
4/1/1992,62.9199
5/1/1992,63.1268
6/1/1992,63.1624
7/1/1992,63.7348
8/1/1992,63.3802
9/1/1992,63.5834
10/1/1992,64.0178
11/1/1992,64.2628
12/1/1992,64.3599
1/1/1993,64.6135
2/1/1993,64.9262
3/1/1993,64.8627
4/1/1993,65.0423
5/1/1993,64.8006
6/1/1993,64.9476
7/1/1993,65.1142
8/1/1993,65.0421
9/1/1993,65.3749
10/1/1993,65.863
11/1/1993,66.1696
12/1/1993,66.5531
1/1/1994,66.7591
2/1/1994,66.8019
3/1/1994,67.4704
4/1/1994,67.8707
5/1/1994,68.187
6/1/1994,68.645
7/1/1994,68.7317
8/1/1994,69.1882
9/1/1994,69.3935
10/1/1994,69.9576
11/1/1994,70.4288
12/1/1994,71.1273
1/1/1995,71.2635
2/1/1995,71.1758
3/1/1995,71.2796
4/1/1995,71.1538
5/1/1995,71.4997
6/1/1995,71.7327
7/1/1995,71.4334
8/1/1995,72.3723
9/1/1995,72.6543
10/1/1995,72.5336
11/1/1995,72.717
12/1/1995,72.9638
1/1/1996,72.5712
2/1/1996,73.6207
3/1/1996,73.5141
4/1/1996,74.2491
5/1/1996,74.8142
6/1/1996,75.3726
7/1/1996,75.3738
8/1/1996,75.7557
9/1/1996,76.2302
10/1/1996,76.2157
11/1/1996,76.8973
12/1/1996,77.3772
1/1/1997,77.5135
2/1/1997,78.4255
3/1/1997,78.9197
4/1/1997,78.9848
5/1/1997,79.4296
6/1/1997,79.7971
7/1/1997,80.4666
8/1/1997,81.2825
9/1/1997,82.0327
10/1/1997,82.7656
11/1/1997,83.427
12/1/1997,83.784
1/1/1998,84.1564
2/1/1998,84.3066
3/1/1998,84.342
4/1/1998,84.6339
5/1/1998,85.1867
6/1/1998,84.6809
7/1/1998,84.3445
8/1/1998,86.0816
9/1/1998,86.0023
10/1/1998,86.591
11/1/1998,86.5115
12/1/1998,86.8615
1/1/1999,87.2205
2/1/1999,87.726
3/1/1999,87.9125
4/1/1999,88.1082
5/1/1999,88.6483
6/1/1999,88.5903
7/1/1999,89.1098
8/1/1999,89.5007
9/1/1999,89.1304
10/1/1999,90.2709
11/1/1999,90.7528
12/1/1999,91.4784
1/1/2000,91.4092
2/1/2000,91.7245
3/1/2000,92.083
4/1/2000,92.6659
5/1/2000,92.9347
6/1/2000,93.0018
7/1/2000,92.8373
8/1/2000,92.591
9/1/2000,92.9827
10/1/2000,92.64
11/1/2000,92.6604
12/1/2000,92.3457
1/1/2001,91.8908
2/1/2001,91.2851
3/1/2001,91.0585
4/1/2001,90.7384
5/1/2001,90.2607
6/1/2001,89.7811
7/1/2001,89.2352
8/1/2001,89.157
9/1/2001,88.6749
10/1/2001,88.4051
11/1/2001,87.886
12/1/2001,87.8518
1/1/2002,88.4634
2/1/2002,88.4578
3/1/2002,89.1265
4/1/2002,89.5507
5/1/2002,89.9348
6/1/2002,90.6736
7/1/2002,90.6436
8/1/2002,90.5505
9/1/2002,90.6373
10/1/2002,90.3988
11/1/2002,90.8947
12/1/2002,90.3906
1/1/2003,91.1369
2/1/2003,91.2505
3/1/2003,91.0006
4/1/2003,90.4311
5/1/2003,90.4
6/1/2003,90.5196
7/1/2003,90.9869
8/1/2003,90.7933
9/1/2003,91.3819
10/1/2003,91.5049
11/1/2003,92.1265
12/1/2003,92.1732
1/1/2004,92.3268
2/1/2004,92.8995
3/1/2004,92.5368
4/1/2004,92.8957
5/1/2004,93.5845
6/1/2004,92.8651
7/1/2004,93.5502
8/1/2004,93.6301
9/1/2004,93.7353
10/1/2004,94.5695
11/1/2004,94.8015
12/1/2004,95.5415
1/1/2005,95.8785
2/1/2005,96.5709
3/1/2005,96.4345
4/1/2005,96.6347
5/1/2005,96.7251
6/1/2005,97.1483
7/1/2005,96.8397
8/1/2005,97.1584
9/1/2005,95.2764
10/1/2005,96.4411
11/1/2005,97.5016
12/1/2005,97.9723
1/1/2006,98.127
2/1/2006,98.1687
3/1/2006,98.3913
4/1/2006,98.6826
5/1/2006,98.7074
6/1/2006,99.0398
7/1/2006,98.9751
8/1/2006,99.4047
9/1/2006,99.2246
10/1/2006,99.1229
11/1/2006,99.0963
12/1/2006,100.1125
1/1/2007,99.7546
2/1/2007,100.7166
3/1/2007,100.8952
4/1/2007,101.5723
5/1/2007,101.6269
6/1/2007,101.6547
7/1/2007,101.4953
8/1/2007,101.6943
9/1/2007,101.9428
10/1/2007,101.6446
11/1/2007,102.2167
12/1/2007,102.2764
1/1/2008,102.1493
2/1/2008,101.7756
3/1/2008,101.4508
4/1/2008,100.7554
5/1/2008,100.1336
6/1/2008,99.8728
7/1/2008,99.4194
8/1/2008,97.8491
9/1/2008,93.5576
10/1/2008,94.4985
11/1/2008,93.2617
12/1/2008,90.6266
1/1/2009,88.3712
2/1/2009,87.843
3/1/2009,86.4689
4/1/2009,85.7903
5/1/2009,84.9436
6/1/2009,84.6746
7/1/2009,85.6853
8/1/2009,86.6393
9/1/2009,87.3821
10/1/2009,87.5809
11/1/2009,87.9388
12/1/2009,88.2404
1/1/2010,89.1897
2/1/2010,89.5046
3/1/2010,90.1356
4/1/2010,90.4607
5/1/2010,91.7014
6/1/2010,91.9033
7/1/2010,92.2549
8/1/2010,92.5936
9/1/2010,92.8533
10/1/2010,92.6033
11/1/2010,92.6686
12/1/2010,93.5916
1/1/2011,93.3889
2/1/2011,93.0045
3/1/2011,93.9684
4/1/2011,93.6571
5/1/2011,93.7723
6/1/2011,94.0493
7/1/2011,94.4958
8/1/2011,95.0974
9/1/2011,95.0244
10/1/2011,95.6891
11/1/2011,95.6778
12/1/2011,96.1809
1/1/2012,96.7595
2/1/2012,97.0662
3/1/2012,96.5609
4/1/2012,97.251
5/1/2012,97.4595
6/1/2012,97.4768
7/1/2012,97.6714
8/1/2012,97.2734
9/1/2012,97.2217
10/1/2012,97.5311
11/1/2012,97.9084
12/1/2012,98.1884
1/1/2013,98.1736
2/1/2013,98.6434
3/1/2013,99.047
4/1/2013,98.9445
5/1/2013,99.0383
6/1/2013,99.2221
7/1/2013,98.8987
8/1/2013,99.4897
9/1/2013,100.021
10/1/2013,99.9037
11/1/2013,100.1582
12/1/2013,100.374
1/1/2014,99.9899
2/1/2014,100.7471
3/1/2014,101.7435
4/1/2014,101.8273
5/1/2014,102.2392
6/1/2014,102.5774
7/1/2014,102.7954
8/1/2014,102.6322
9/1/2014,102.9417
10/1/2014,102.9611
11/1/2014,103.5978
12/1/2014,103.6151
1/1/2015,102.7923
2/1/2015,102.1366
3/1/2015,101.7869
4/1/2015,101.2255
5/1/2015,100.7675
6/1/2015,100.4588
7/1/2015,101.0893
8/1/2015,100.9165
9/1/2015,100.633
10/1/2015,100.1563
11/1/2015,99.4366
12/1/2015,98.9471
1/1/2016,99.4391
2/1/2016,98.9232
3/1/2016,98.1635
4/1/2016,98.4775
5/1/2016,98.2549
6/1/2016,98.7315
7/1/2016,98.8452
8/1/2016,98.7427
9/1/2016,98.6552
10/1/2016,98.7237
11/1/2016,98.3443
12/1/2016,99.0406
1/1/2017,98.8158
2/1/2017,98.4356
3/1/2017,99.0492
4/1/2017,100.0416
5/1/2017,100.128
6/1/2017,100.337
7/1/2017,100.0865
8/1/2017,99.6323
9/1/2017,99.7482
10/1/2017,100.9893
11/1/2017,101.2493
12/1/2017,101.4871
1/1/2018,101.4852
2/1/2018,101.7319
3/1/2018,102.1943
4/1/2018,103.3551
5/1/2018,102.381
6/1/2018,103.2256
7/1/2018,103.3561
8/1/2018,104.0585
9/1/2018,104.1038
10/1/2018,103.9297
11/1/2018,104.0126
12/1/2018,104.0451
1/1/2019,103.3598
2/1/2019,102.8251
3/1/2019,102.8361
4/1/2019,102.2748
5/1/2019,102.4176
6/1/2019,102.5425
7/1/2019,102.0057
8/1/2019,102.7814
9/1/2019,102.4601
10/1/2019,101.5878
11/1/2019,102.1494
12/1/2019,101.9421
1/1/2020,101.3372
2/1/2020,101.6718
3/1/2020,97.606
4/1/2020,84.6812
5/1/2020,86.0108
6/1/2020,91.6745
7/1/2020,95.0037
8/1/2020,95.9294
